Name,Phone,Category,Subcategory,District,Address,Latitude,Longitude,Google Maps URL
Ukkinadka Medical College,+918289908320,Hospitals,Hospitals,Kasaragod,"J3GQ+3X3, Ukkinadka, Kerala 671552، الهند",12.6251324,75.089929,https://www.google.com/maps/place/Ukkinadka+Medical+College/data=!4m7!3m6!1s0x3ba49b4cdadf47a1:0xe9f43d54bf2728ef!8m2!3d12.6251324!4d75.089929!16s%2Fg%2F11h3th1qhm!19sChIJoUff2kybpDsR7ygnv1Q99Ok?authuser=0&hl=ar&rclk=1
Primary Health Centre Madhur (PHC Madhur),,Hospitals,Hospitals,Kasaragod,"Kasaragod, Shiribagilu, Kerala 671124، الهند",12.5689148,74.9945289,https://www.google.com/maps/place/Primary+Health+Centre+Madhur+%28PHC+Madhur%29/data=!4m7!3m6!1s0x3ba49d36fb6d5b2f:0xcb77929db3c79517!8m2!3d12.5689148!4d74.9945289!16s%2Fg%2F11b8yr600v!19sChIJL1tt-zadpDsRF5XHs52Sd8s?authuser=0&hl=ar&rclk=1
Primary Health Centre,,Hospitals,Hospitals,Kasaragod,"H4C6+7G5, Marpanadka, Ubrangala, Kerala 671551، الهند",12.570631,75.1113693,https://www.google.com/maps/place/Primary+Health+Centre/data=!4m7!3m6!1s0x3ba49ad45717ce6d:0x3aecfeb15a0b60e!8m2!3d12.570631!4d75.1113693!16s%2Fg%2F11dxkzlvgf!19sChIJbc4XV9SapDsRDragFevPrgM?authuser=0&hl=ar&rclk=1
KOTTAKUNNU CLINIC,+914672272979,Hospitals,Hospitals,Kasaragod,"fort, Kottakunnu, Bekal, Kerala 671316، الهند",12.3929083,75.033553,https://www.google.com/maps/place/KOTTAKUNNU+CLINIC/data=!4m7!3m6!1s0x3ba4809827b45707:0xf08292f98d7199dd!8m2!3d12.3929083!4d75.033553!16s%2Fg%2F11ggk6s09c!19sChIJB1e0J5iApDsR3ZlxjfmSgvA?authuser=0&hl=ar&rclk=1
Health court clinic,+918281816822,Hospitals,Hospitals,Kasaragod,"Health Court, Edappally, Kumbla (Kumble), Kerala 671321، الهند",12.5917065,74.9442186,https://www.google.com/maps/place/Health+court+clinic/data=!4m7!3m6!1s0x3ba362ed37c16b51:0x55bd81fc7e414ea8!8m2!3d12.5917065!4d74.9442186!16s%2Fg%2F11dxvp1qxx!19sChIJUWvBN-1iozsRqE5BfvyBvVU?authuser=0&hl=ar&rclk=1
"Star Clinic, Kumbla",,Hospitals,Hospitals,Kasaragod,"HWVW+78J, Kumbla (Kumble), Kerala 671321، الهند",12.5932008,74.945768,"https://www.google.com/maps/place/Star+Clinic,+Kumbla/data=!4m7!3m6!1s0x3ba363febbd20789:0x32390bebb95a66c4!8m2!3d12.5932008!4d74.945768!16s%2Fg%2F11f7nxkyd2!19sChIJiQfSu_5jozsRxGZauesLOTI?authuser=0&hl=ar&rclk=1"
Aboobakkar Hospital,,Hospitals,Hospitals,Kasaragod,"Kappil, Pallikkara II, Bekal, كيرلا 671318، الهند",12.420829,75.0222927,https://www.google.com/maps/place/Aboobakkar+Hospital/data=!4m7!3m6!1s0x3ba480fbb04cd20d:0x896bb7843ecf627d!8m2!3d12.420829!4d75.0222927!16s%2Fg%2F1hm2g41ln!19sChIJDdJMsPuApDsRfWLPPoS3a4k?authuser=0&hl=ar&rclk=1
Ahalia Foundation Eye Hospital,09496396720,Hospitals,Hospitals,Kasaragod,"Chemmattamvayal Kanhangad, kasaragod",12.313926500000,75.105435800000,https://www.google.com/maps/place/Ahalia+Foundation+Eye+Hospital/data=!4m7!3m6!1s0x3ba47c624559683f:0x4e8f045843275cb8!8m2!3d12.3148713!4d75.1060311!16s%2Fg%2F1hm69l7sh!19sChIJP2hZRWJ8pDsRuFwnQ1gEj04?authuser=0&hl=ar&rclk=1
Kanhangad Nursing Home,09745160288,Nursing Homes,Hospitals,Kasaragod,"Main Road Kanhangad, Kasaragod",12.318828900000,75.088275700000,https://www.google.com/maps/place/Kanhangad+Nursing+Home/data=!4m7!3m6!1s0x3ba47c6a45785d0b:0x967d3f5acb075197!8m2!3d12.3188289!4d75.0882757!16s%2Fg%2F124ybf5qy!19sChIJC114RWp8pDsRl1EHy1o_fZY?authuser=0&hl=ar&rclk=1
Life Care Clinic,+917907290468,Hospitals,Hospitals,Kasaragod,"Muliyadka complex, Police station, road, behind Anugraha Icecream parlour, Kumbla (Kumble), Kerala 671321، الهند",12.5945078,74.9440399,https://www.google.com/maps/place/Life+Care+Clinic/data=!4m7!3m6!1s0x3ba363cea16317fd:0x18a63b55b6da482a!8m2!3d12.5945078!4d74.9440399!16s%2Fg%2F11st_sz5lk!19sChIJ_Rdjoc5jozsRKkjatlU7phg?authuser=0&hl=ar&rclk=1
StarMed Polyclinic,+919061929393,Hospitals,Hospitals,Kasaragod,"C22J+5G5, Bekal, Kerala 671316، الهند",12.4003984,75.0313746,https://www.google.com/maps/place/StarMed+Polyclinic/data=!4m7!3m6!1s0x3ba48134e941eb8f:0x2abd23e0c9b01701!8m2!3d12.4003984!4d75.0313746!16s%2Fg%2F11vjl69fkb!19sChIJj-tB6TSBpDsRARewyeAjvSo?authuser=0&hl=ar&rclk=1
PALAKKUNNU PolyClinic,+917594920727,Hospitals,Hospitals,Kasaragod,"C2FC+XX4, Palakkunnu, Bekal, Kerala 671318، الهند",12.424892,75.0224541,https://www.google.com/maps/place/PALAKKUNNU+PolyClinic/data=!4m7!3m6!1s0x3ba481bb02e06c95:0xe7dd663eb5688c56!8m2!3d12.424892!4d75.0224541!16s%2Fg%2F11f6d91r0r!19sChIJlWzgAruBpDsRVoxotT5m3ec?authuser=0&hl=ar&rclk=1
GS HOSPITAL,,Hospitals,Hospitals,Kasaragod,"14/614, Padne Rd, Padne, Kerala 671312، الهند",12.1754566,75.147858,https://www.google.com/maps/place/GS+HOSPITAL/data=!4m7!3m6!1s0x3ba471003e4fb64f:0x2164e6877292c9fb!8m2!3d12.1754566!4d75.147858!16s%2Fg%2F11ynv64n3y!19sChIJT7ZPPgBxpDsR-8mScofmZCE?authuser=0&hl=ar&rclk=1
Karyil government hospital,,Hospitals,Hospitals,Kasaragod,"64GP+G56, Kariyil, Kerala 671351، الهند",12.226431,75.135489,https://www.google.com/maps/place/Karyil+government+hospital/data=!4m7!3m6!1s0x3ba47b002607993f:0xe65ef3e81323d9d9!8m2!3d12.226431!4d75.135489!16s%2Fg%2F11mymhgxhw!19sChIJP5kHJgB7pDsR2dkjE-jzXuY?authuser=0&hl=ar&rclk=1
Udma Government Homoeo Dispensary,+914672236973,Hospitals,Hospitals,Kasaragod,"C2R5+G2H, Udma, Kerala 671319، الهند",12.4413046,75.00762,https://www.google.com/maps/place/Udma+Government+Homoeo+Dispensary/data=!4m7!3m6!1s0x3ba481a66fbd7fef:0x93122b46fc4ec2a7!8m2!3d12.4413046!4d75.00762!16s%2Fg%2F11g6wd_zfd!19sChIJ73-9b6aBpDsRp8JO_EYrEpM?authuser=0&hl=ar&rclk=1
PISTACHIO,+918075158830,Restaurants,Restaurants,Kannur,"5FM8+C4W, Alakode, Kerala 670571، الهند",12.1832103,75.4658203,https://www.google.com/maps/place/PISTACHIO/data=!4m7!3m6!1s0x3ba445b2e7533d23:0xea247e810ea3415!8m2!3d12.1832103!4d75.4658203!16s%2Fg%2F11sdsm4kqq!19sChIJIz1T57JFpDsRFTTqEOhHog4?authuser=0&hl=ar&rclk=1
Real Family Cafe,,Restaurants,Restaurants,Kannur,"Alakode, Kerala 670571، الهند",12.1909667,75.4672775,https://www.google.com/maps/place/Real+Family+Cafe/data=!4m7!3m6!1s0x3ba4450069560b9f:0xf81e8f8ba177e660!8m2!3d12.1909667!4d75.4672775!16s%2Fg%2F11mrcdygqw!19sChIJnwtWaQBFpDsRYOZ3oYuPHvg?authuser=0&hl=ar&rclk=1
Burbery bakes,,Restaurants,Restaurants,Kannur,"Alakode, Kerala 670571، الهند",12.1878434,75.4669156,https://www.google.com/maps/place/Burbery+bakes/data=!4m7!3m6!1s0x3ba445d0fe4cba63:0xea9e8904345cc479!8m2!3d12.1878434!4d75.4669156!16s%2Fg%2F11r2hgwsk3!19sChIJY7pM_tBFpDsRecRcNASJnuo?authuser=0&hl=ar&rclk=1
AFC Fried Chicken,,Restaurants,Restaurants,Kannur,"5FG7+5V5, Taliparamba - Manakadavu - Coorg Rd, Jose Nagar, New Naduvil, Karuvanchal, Kerala 670571، الهند",12.1753854,75.4647479,https://www.google.com/maps/place/AFC+Fried+Chicken/data=!4m7!3m6!1s0x3ba4454839dec3e9:0xd59001a8c24c3065!8m2!3d12.1753854!4d75.4647479!16s%2Fg%2F11rhccxh4q!19sChIJ6cPeOUhFpDsRZTBMwqgBkNU?authuser=0&hl=ar&rclk=1
Cafe Hub,+917902244520,Restaurants,Restaurants,Kannur,"near E-Planet, Karuvanchal, Kerala 670571، الهند",12.1677033,75.4618057,https://www.google.com/maps/place/Cafe+Hub/data=!4m7!3m6!1s0x3ba44505e869a07d:0x50a852948eb1f167!8m2!3d12.1677033!4d75.4618057!16s%2Fg%2F11tmw52k4s!19sChIJfaBp6AVFpDsRZ_GxjpRSqFA?authuser=0&hl=ar&rclk=1
Cafe arab,,Restaurants,Restaurants,Kannur,"5FH7+GV6, Taliparamba - Manakadavu - Coorg Rd, Jose Nagar, New Naduvil, Kerala 670571، الهند",12.178776,75.4646323,https://www.google.com/maps/place/Cafe+arab/data=!4m7!3m6!1s0x3ba445fb06128f03:0xdcb2b9e5cd845809!8m2!3d12.178776!4d75.4646323!16s%2Fg%2F11fsjcsr0w!19sChIJA48SBvtFpDsRCViEzeW5stw?authuser=0&hl=ar&rclk=1
Aishwarya Restaurant,,Restaurants,Restaurants,Kannur,"Link road, Alakode, Kerala 670571، الهند",12.1903735,75.466536,https://www.google.com/maps/place/Aishwarya+Restaurant/data=!4m7!3m6!1s0x3ba445408f96bc37:0xfec4a880bde2c8b4!8m2!3d12.1903735!4d75.466536!16s%2Fg%2F11vd8qqv70!19sChIJN7yWj0BFpDsRtMjivYCoxP4?authuser=0&hl=ar&rclk=1
ARA RESTAURANT,+919778244771,Restaurants,Restaurants,Kannur,"Elamberam para, Taliparamba, Kerala 670142، الهند",12.0979371,75.4041221,https://www.google.com/maps/place/ARA+RESTAURANT/data=!4m7!3m6!1s0x3ba4416852c14f77:0x8e32716fbed296b9!8m2!3d12.0979371!4d75.4041221!16s%2Fg%2F11pzhj7005!19sChIJd0_BUmhBpDsRuZbSvm9xMo4?authuser=0&hl=ar&rclk=1
Mary Matha Hotel,+919605064686,Restaurants,Restaurants,Kannur,"5FP8+FQ2, Alakode, Kerala 670571، الهند",12.1861372,75.4668923,https://www.google.com/maps/place/Mary+Matha+Hotel/data=!4m7!3m6!1s0x3ba444f7d18b2bdd:0x21b86dea59d82878!8m2!3d12.1861372!4d75.4668923!16s%2Fg%2F11ddxgl15w!19sChIJ3SuL0fdEpDsReCjYWeptuCE?authuser=0&hl=ar&rclk=1
Nellippara Junction,,Restaurants,Restaurants,Kannur,"5CXX+97G, Alakode, Nellippara, Kerala 670571، الهند",12.1984372,75.448191,https://www.google.com/maps/place/Nellippara+Junction/data=!4m7!3m6!1s0x3ba44490586bfbdf:0x5d99200938d74391!8m2!3d12.1984372!4d75.448191!16s%2Fg%2F11hcyxs23r!19sChIJ3_trWJBEpDsRkUPXOAkgmV0?authuser=0&hl=ar&rclk=1
Hotel City Star,,Restaurants,Restaurants,Kannur,"5FR8+4RH, Taliparamba - Manakadavu - Coorg Rd, Alakode, Kerala 670571، الهند",12.190372,75.4672082,https://www.google.com/maps/place/Hotel+City+Star/data=!4m7!3m6!1s0x3ba445006d57e27f:0xbe76f0a305e72705!8m2!3d12.190372!4d75.4672082!16s%2Fg%2F11xdxllkyq!19sChIJf-JXbQBFpDsRBSfnBaPwdr4?authuser=0&hl=ar&rclk=1
Food Park Restaurant,,Restaurants,Restaurants,Kannur,"6C5P+79F, SH59, Rayarome, Pallippadi, Kerala 670571، الهند",12.2081816,75.4359116,https://www.google.com/maps/place/Food+Park+Restaurant/data=!4m7!3m6!1s0x3ba445893bb33bb7:0x39412a36f2eeb711!8m2!3d12.2081816!4d75.4359116!16s%2Fg%2F11r3g7523l!19sChIJtzuzO4lFpDsREbfu8jYqQTk?authuser=0&hl=ar&rclk=1
Mujeekante Thattukada,+918075680438,Restaurants,Restaurants,Kannur,"Bus Stand, Taliparamba - Manakadavu - Coorg Rd, Karuvanchal, Kerala 670571، الهند",12.1662157,75.4619387,https://www.google.com/maps/place/Mujeekante+Thattukada/data=!4m7!3m6!1s0x3ba44528c786ab73:0xcbe5587491f0a48d!8m2!3d12.1662157!4d75.4619387!16s%2Fg%2F11h891bct6!19sChIJc6uGxyhFpDsRjaTwkXRY5cs?authuser=0&hl=ar&rclk=1
MEENAKSHI HOTEL,,Restaurants,Restaurants,Kannur,"5GX7+8WC, Kappimala, Vellad, Kerala 670571، الهند",12.1983212,75.514773,https://www.google.com/maps/place/MEENAKSHI+HOTEL/data=!4m7!3m6!1s0x3ba4450541677fb1:0x756588f976ab2149!8m2!3d12.1983212!4d75.514773!16s%2Fg%2F11g23088xr!19sChIJsX9nQQVFpDsRSSGrdvmIZXU?authuser=0&hl=ar&rclk=1
Fryday. Restaurant,,Restaurants,Restaurants,Kannur,"Savakka complex, Central, Naduvil, Taliparamba, Kerala 670582، الهند",12.123726,75.4787336,https://www.google.com/maps/place/Fryday.+Restaurant/data=!4m7!3m6!1s0x3ba447dae6c4aacb:0x2ddcee96a1d78546!8m2!3d12.123726!4d75.4787336!16s%2Fg%2F11wbx6x6gx!19sChIJy6rE5tpHpDsRRoXXoZbu3C0?authuser=0&hl=ar&rclk=1
Mulberry Restaurant,+919497077421,Restaurants,Restaurants,Kannur,"Taliparamba - Manakadavu - Coorg Rd, Karuvanchal, Kerala 670571، الهند",12.1680091,75.4627484,https://www.google.com/maps/place/Mulberry+Restaurant/data=!4m7!3m6!1s0x3ba445294cb3af7f:0xc71207d81cabc3c7!8m2!3d12.1680091!4d75.4627484!16s%2Fg%2F11f5_hkxj_!19sChIJf6-zTClFpDsRx8OrHNgHEsc?authuser=0&hl=ar&rclk=1
Hotel Indias,,Restaurants,Restaurants,Kannur,"Alakode, Kerala 670571، الهند",12.1916195,75.4674354,https://www.google.com/maps/place/Hotel+Indias/data=!4m7!3m6!1s0x3ba445087922c1d7:0xcd53a874badad1c2!8m2!3d12.1916195!4d75.4674354!16s%2Fg%2F11ghnflp8j!19sChIJ18EieQhFpDsRwtHaunSoU80?authuser=0&hl=ar&rclk=1
Parippuvada hotel alakode,,Restaurants,Restaurants,Kannur,"5FR8+PV8, Alakode, Kerala 670571، الهند",12.1917793,75.4672032,https://www.google.com/maps/place/Parippuvada+hotel+alakode/data=!4m7!3m6!1s0x3ba4453b98764615:0xd2dfa9fcbbcb57ed!8m2!3d12.1917793!4d75.4672032!16s%2Fg%2F11hkjv_zy6!19sChIJFUZ2mDtFpDsR7VfLu_yp39I?authuser=0&hl=ar&rclk=1
Potheena,,Restaurants,Restaurants,Kannur,"New Bazar Building, opposite SBI, above soubhagya vasthralaya, Alakode, Kerala 670571، الهند",12.1887956,75.4669658,https://www.google.com/maps/place/Potheena/data=!4m7!3m6!1s0x3ba445005033e205:0xd0e3aceb084b663f!8m2!3d12.1887956!4d75.4669658!16s%2Fg%2F11nj63y2p2!19sChIJBeIzUABFpDsRP2ZLCOus49A?authuser=0&hl=ar&rclk=1
KAMALA,+918547560435,Restaurants,Restaurants,Kannur,"Kamala Building, Kattayal Karingayam, 1/B, Kerala 670571، الهند",12.1907921,75.4227879,https://www.google.com/maps/place/KAMALA/data=!4m7!3m6!1s0x3ba443330f905f0b:0x9e9eaa3a379922c0!8m2!3d12.1907921!4d75.4227879!16s%2Fg%2F11mrrjzl88!19sChIJC1-QDzNDpDsRwCKZNzqqnp4?authuser=0&hl=ar&rclk=1
Wildbean Café | Alakode,+918086994477,Restaurants,Restaurants,Kannur,"Survey No. 4, Malabar Fuels, M/s, 1199, Kerala 670571، الهند",12.177026,75.4642476,https://www.google.com/maps/place/Wildbean+Caf%C3%A9+%7C+Alakode/data=!4m7!3m6!1s0x3ba445b098f06d8d:0x8f448f8d21ea0224!8m2!3d12.177026!4d75.4642476!16s%2Fg%2F11mt560l93!19sChIJjW3wmLBFpDsRJALqIY2PRI8?authuser=0&hl=ar&rclk=1
Maroosh Resto Cafe,,Restaurants,Restaurants,Kannur,"4C35+8HW, Taliparamba - Manakadavu - Coorg Rd, Nadukani, Padappengad, Panniyoor, Kerala 670142، الهند",12.1033395,75.4090107,https://www.google.com/maps/place/Maroosh+Resto+Cafe/data=!4m7!3m6!1s0x3ba441c19b4a389d:0x14ff95438bf2a4d5!8m2!3d12.1033395!4d75.4090107!16s%2Fg%2F11tp7rv3vd!19sChIJnThKm8FBpDsR1aTyi0OV_xQ?authuser=0&hl=ar&rclk=1
Hotel Samudra,,Restaurants,Restaurants,Kannur,"4CXX+PGP, Taliparamba - Manakadavu - Coorg Rd, Kerala 670581، الهند",12.149343,75.4488325,https://www.google.com/maps/place/Hotel+Samudra/data=!4m7!3m6!1s0x3ba445fb77d18e29:0x8aa160a77e699847!8m2!3d12.149343!4d75.4488325!16s%2Fg%2F11kckt3nmm!19sChIJKY7Rd_tFpDsRR5hpfqdgoYo?authuser=0&hl=ar&rclk=1
DINNER BELL,+917559005585,Restaurants,Restaurants,Kannur,"Nadukani- alakode, Road, Nadukani - Koovery Road, Nadukani, Taliparamba, Kerala 670581، الهند",12.110639,75.4102842,https://www.google.com/maps/place/DINNER+BELL/data=!4m7!3m6!1s0x3ba441fc8e3da18f:0x7f96eb1fc5449af0!8m2!3d12.110639!4d75.4102842!16s%2Fg%2F11pkkh9wmm!19sChIJj6E9jvxBpDsR8JpExR_rln8?authuser=0&hl=ar&rclk=1
Golden Restaurant,,Restaurants,Restaurants,Kannur,"6C6Q+3V7, Rayarome, Therthally, Kerala 670571، الهند",12.2101516,75.4396579,https://www.google.com/maps/place/Golden+Restaurant/data=!4m7!3m6!1s0x3ba444a16c4fd8bd:0x70d331e6a76161d6!8m2!3d12.2101516!4d75.4396579!16s%2Fg%2F11f2wc4bhx!19sChIJvdhPbKFEpDsR1mFhp-Yx03A?authuser=0&hl=ar&rclk=1
Stone Hills Resort,+919820213062,Restaurants,Restaurants,Kannur,"Parothmala Poovamchal, Alakode, Kerala 670571، الهند",12.2085631,75.4825874,https://www.google.com/maps/place/Stone+Hills+Resort/data=!4m10!3m9!1s0x3ba4457bd74c2ac9:0xe4ac0d0ca21434a8!5m2!4m1!1i2!8m2!3d12.2085631!4d75.4825874!16s%2Fg%2F11h55576rv!19sChIJySpM13tFpDsRqDQUogwNrOQ?authuser=0&hl=ar&rclk=1
AL MADEENA HOTEL,+919847506198,Restaurants,Restaurants,Kannur,"AL MADEENA Building, 23, nr. NADUVIL Hospital, Naduvil, Kerala 670582، الهند",12.1228752,75.4808586,https://www.google.com/maps/place/AL+MADEENA+HOTEL/data=!4m7!3m6!1s0x3ba447ca4d13f2e7:0xde67da9afdb3fcc6!8m2!3d12.1228752!4d75.4808586!16s%2Fg%2F11yn8_zj6x!19sChIJ5_ITTcpHpDsRxvyz_ZraZ94?authuser=0&hl=ar&rclk=1
Hotel Plazza,+914602256600,Restaurants,Restaurants,Kannur,"Taliparamba - Manakadavu - Coorg Rd, Alakode, Kerala 670571، الهند",12.1894151,75.4668048,https://www.google.com/maps/place/Hotel+Plazza/data=!4m7!3m6!1s0x3ba444f71eb0ef33:0x856e106deeece48a!8m2!3d12.1894151!4d75.4668048!16s%2Fg%2F11c2p9v7tp!19sChIJM--wHvdEpDsRiuTs7m0QboU?authuser=0&hl=ar&rclk=1
Tasty bakery,,Restaurants,Restaurants,Kannur,"5FX5+HGM, Kerala 670571، الهند",12.1989685,75.4587907,https://www.google.com/maps/place/Tasty+bakery/data=!4m7!3m6!1s0x3ba445b812dd2431:0x3f61a550812226c9!8m2!3d12.1989685!4d75.4587907!16s%2Fg%2F11qrtm6lrl!19sChIJMSTdErhFpDsRySYigVClYT8?authuser=0&hl=ar&rclk=1
Kiwi Cafe,+919961885001,Restaurants,Restaurants,Kannur,"5FQ8+RQH, Alakode, Kerala 670571، الهند",12.1895622,75.4669932,https://www.google.com/maps/place/Kiwi+Cafe/data=!4m7!3m6!1s0x3ba445c2dd4564c9:0x9816c5c8d5799d75!8m2!3d12.1895622!4d75.4669932!16s%2Fg%2F11gx_2x5hh!19sChIJyWRF3cJFpDsRdZ151cjFFpg?authuser=0&hl=ar&rclk=1
Pramodettan’s Special Porotta Beef,+919605412883,Breakfast restaurant,Restaurants,Kannur,"49CW+M5Q, Kottakkanam, Koovery, Kerala 670581، الهند",12.121713,75.3954938,https://www.google.com/maps/place/Pramodettan%E2%80%99s+Special+Porotta+Beef/data=!4m7!3m6!1s0x3ba441d78191819f:0x699ef536f7cc7cb!8m2!3d12.121713!4d75.3954938!16s%2Fg%2F11lrhcdn5_!19sChIJn4GRgddBpDsRy8d8b1PvmQY?authuser=0&hl=ar&rclk=1
Aiswarya Family Restaurant,+919495695342,Restaurants,Restaurants,Kasaragod,"8937+X5P, Nallompuzha, Kerala 670511، الهند",12.3055188,75.3631123,https://www.google.com/maps/place/Aiswarya+Family+Restaurant/data=!4m7!3m6!1s0x3ba45d004e8097cf:0x946a799189dd0424!8m2!3d12.3055188!4d75.3631123!16s%2Fg%2F11wmtc25kl!19sChIJz5eATgBdpDsRJATdiZF5apQ?authuser=0&hl=ar&rclk=1
Aiswarya Family Restaurant AC/ NON AC,+919495695342,Restaurants,Restaurants,Kasaragod,"8947+67C, Chittarikkal, Nallompuzha, Kerala 670511، الهند",12.3055604,75.3631254,https://www.google.com/maps/place/Aiswarya+Family+Restaurant+AC%2F+NON+AC/data=!4m7!3m6!1s0x3ba45e0de74dd889:0x4ca9688cc3ac907b!8m2!3d12.3055604!4d75.3631254!16s%2Fg%2F11g9j75l0w!19sChIJidhN5w1epDsRe5Csw4xoqUw?authuser=0&hl=ar&rclk=1
Ruchi Hotel,,Restaurants,Restaurants,Kasaragod,"78VQ+J55, Kadumeni, Kerala 670511، الهند",12.2940247,75.3379703,https://www.google.com/maps/place/Ruchi+Hotel/data=!4m7!3m6!1s0x3ba4675ee1292375:0xc397b37d4e84efd5!8m2!3d12.2940247!4d75.3379703!16s%2Fg%2F11h9xm228k!19sChIJdSMp4V5npDsR1e-ETn2zl8M?authuser=0&hl=ar&rclk=1
The Black Bowl Restaurant,+919495461479,Restaurants,Restaurants,Kasaragod,"Cherupuzha, Kerala 670511، الهند",12.273614,75.3617145,https://www.google.com/maps/place/The+Black+Bowl+Restaurant/data=!4m7!3m6!1s0x3ba45dc4f2df2c31:0xe46c80eaa52426b2!8m2!3d12.273614!4d75.3617145!16s%2Fg%2F11fj488w89!19sChIJMSzf8sRdpDsRsiYkpeqAbOQ?authuser=0&hl=ar&rclk=1
